,time,spline,prediction probe,prediction one case,prediction all case,target
359,0.011375885,819.12244,819.12244,819.12244,819.12244,5795.3853
360,0.011377439,1590.1274,6606.5522,429.80765,-716.3779,1590.1274
361,0.011378967,3208.989,3208.989,3208.989,3208.989,2529.651
362,0.011380544,4997.136,4997.136,4997.136,4997.136,5147.643
363,0.011382179,5933.393,6529.843,180.93538,-2587.073,5933.393
364,0.011383816,5215.4844,5215.4844,5215.4844,5215.4844,3115.268
365,0.011385431,3608.3281,3608.3281,3608.3281,3608.3281,-485.8413
366,0.011387065,2170.7134,7321.808,49.611973,-2442.0698,2170.7134
367,0.011388646,1686.3536,1686.3536,1686.3536,1686.3536,2029.4556
368,0.011390206,1545.2778,1545.2778,1545.2778,1545.2778,68.385254
369,0.011391757,905.95557,7308.6646,141.78497,-1266.6776,905.95557
370,0.011393291,-751.38666,-751.38666,-751.38666,-751.38666,734.7603
371,0.011394811,-2850.0408,-2850.0408,-2850.0408,-2850.0408,2126.2056
